Ort,Startpunkt,Datum,Uhrzeit,Breitengrad,Längengrad,Aufruf_Link,Aufruf_Link_href
Elmshorn,Alter Markt,24.01.2025,17 Uhr,53.75,9.66,https://web.archive.org/web/20250121195132/https://www.holsteiner-allgemeine.de/versteckte-seiten/detailansicht-politik-elmshorn/buendnis-ruft-zu-demo-gegen-rechtsextreme-auf.html,"<a href=""https://web.archive.org/web/20250121195132/https://www.holsteiner-allgemeine.de/versteckte-seiten/detailansicht-politik-elmshorn/buendnis-ruft-zu-demo-gegen-rechtsextreme-auf.html"">Link</a>"
Neuruppin,Schulplatz,24.01.2025,16:30 Uhr,52.92,12.8,https://web.archive.org/web/20250122183239/https://www.neuruppin-bleibt-bunt.de/,"<a href=""https://web.archive.org/web/20250122183239/https://www.neuruppin-bleibt-bunt.de/"">Link</a>"
Paderborn,Schloss Neuhaus,24.01.2025,18 Uhr,51.77,8.74,https://web.archive.org/web/20250122183535/https://www.bgr-paderborn.de/,"<a href=""https://web.archive.org/web/20250122183535/https://www.bgr-paderborn.de/"">Link</a>"
Soest,Petrikirchplatz/ Rathaus,24.01.2025,18 Uhr,51.56,8.09,https://soest-ist-bunt.de/,"<a href=""https://soest-ist-bunt.de/"">Link</a>"
Tuttlingen,Marktplatz,24.01.2025,17:30 Uhr,47.97,8.81,https://www.demokrateam.org/aktionen/tuttlingen-ist-bunt/,"<a href=""https://www.demokrateam.org/aktionen/tuttlingen-ist-bunt/"">Link</a>"
Berlin,Brandenburger Tor,25.01.2025,16:30 Uhr,52.5,13.34,https://web.archive.org/web/20250122185116/https://www.campact.de/rechtsextremismus/lichtermeer-demo-berlin/,"<a href=""https://web.archive.org/web/20250122185116/https://www.campact.de/rechtsextremismus/lichtermeer-demo-berlin/"">Link</a>"
Dahlenburg,Parkplatz Freibad,25.01.2025,16:30 Uhr,53.19,10.74,https://nordostniedersachsen.dgb.de/termine/++co++2637d8a2-d3fd-11ef-a998-19c8f53ebd84,"<a href=""https://nordostniedersachsen.dgb.de/termine/++co++2637d8a2-d3fd-11ef-a998-19c8f53ebd84"">Link</a>"
Halle,Ernst-Kamieth-Straße,25.01.2025,11 Uhr,51.47,12.0,https://web.archive.org/web/20250122190022/https://hallespektrum.de/aktuelles/halle-gegen-rechts-ruft-zur-demo-gegen-afd-parteitag-auf-samstag-25-januar-2025/469090/,"<a href=""https://web.archive.org/web/20250122190022/https://hallespektrum.de/aktuelles/halle-gegen-rechts-ruft-zur-demo-gegen-afd-parteitag-auf-samstag-25-januar-2025/469090/"">Link</a>"
Hechingen,Obertorplatz,25.01.2025,11 Uhr,48.35,8.96,https://web.archive.org/web/20250122190206/https://www.schwarzwaelder-bote.de/inhalt.hechinger-cdu-macht-nicht-mit-demo-fuer-menschlichkeit-und-vielfalt.7bab2ed1-8e05-4ba0-ab9f-e09613b9535c.html,"<a href=""https://web.archive.org/web/20250122190206/https://www.schwarzwaelder-bote.de/inhalt.hechinger-cdu-macht-nicht-mit-demo-fuer-menschlichkeit-und-vielfalt.7bab2ed1-8e05-4ba0-ab9f-e09613b9535c.html"">Link</a>"
Neumünster,Bahnhof,25.01.2025,10 Uhr,54.07,9.98,https://www.antifa-kiel.org/events/alerta-antifa-gemeinsam-und-entschlossen-gegen-den-rassistischen-afd-aufmarsch-in-neumuenster/,"<a href=""https://www.antifa-kiel.org/events/alerta-antifa-gemeinsam-und-entschlossen-gegen-den-rassistischen-afd-aufmarsch-in-neumuenster/"">Link</a>"
Perleberg,Großer Markt,25.01.2025,17 Uhr,53.12,11.93,https://www.demokrateam.org/aktionen/leuchten-fuer-vielfalt/,"<a href=""https://www.demokrateam.org/aktionen/leuchten-fuer-vielfalt/"">Link</a>"
Preetz,Marktplatz wöchentlich bis zur Wahl,25.01.2025,10:30,54.23,10.28,https://web.archive.org/web/20250116223207/https://www.kn-online.de/lokales/ploen/demos-gegen-rechtsextremismus-es-gibt-menschen-die-haben-angst-VVHURN47XFDHFPI74JWZU4FS64.html,"<a href=""https://web.archive.org/web/20250116223207/https://www.kn-online.de/lokales/ploen/demos-gegen-rechtsextremismus-es-gibt-menschen-die-haben-angst-VVHURN47XFDHFPI74JWZU4FS64.html"">Link</a>"
Ravensburg,Marienplatz,25.01.2025,15 Uhr,47.77,9.55,https://www.schwaebische.de/regional/oberschwaben/ravensburg/grossdemo-gegen-rechtspopulismus-wird-wiederholt-3236293,"<a href=""https://www.schwaebische.de/regional/oberschwaben/ravensburg/grossdemo-gegen-rechtspopulismus-wird-wiederholt-3236293"">Link</a>"
Regenstauf,Regenbrücke,25.01.2025,10 Uhr,49.15,12.17,https://www.demokrateam.org/aktionen/vielfalt-statt-einfalt/,"<a href=""https://www.demokrateam.org/aktionen/vielfalt-statt-einfalt/"">Link</a>"
Siegen,Herrengarten,25.01.2025,16 Uhr,50.88,7.98,https://web.archive.org/web/20250122191355/https://www.ksb-siwi.de/wir/aktuelles-allgemein/artikel/nie-wieder-ist-jetzt-demo-am-25-januar-im-herrengarten,"<a href=""https://web.archive.org/web/20250122191355/https://www.ksb-siwi.de/wir/aktuelles-allgemein/artikel/nie-wieder-ist-jetzt-demo-am-25-januar-im-herrengarten"">Link</a>"
Trittau,Europaplatz,25.01.2025,11:30 Uhr,53.61,10.4,https://www.demokrateam.org/aktionen/nie-wieder-ist-jetzt-3/,"<a href=""https://www.demokrateam.org/aktionen/nie-wieder-ist-jetzt-3/"">Link</a>"
Müllheim,Jüdischer Friedhof,26.01.2025,15 uhr,47.82,7.64,https://web.archive.org/web/20250121141029/http://www.friedensrat.org/pages/aktionen/2025/auschwitz-tag-im-markgraeflerland.php,"<a href=""https://web.archive.org/web/20250121141029/http://www.friedensrat.org/pages/aktionen/2025/auschwitz-tag-im-markgraeflerland.php"">Link</a>"
Kiel,Opernhaus,27.01.2025,16 Uhr,54.32,10.13,https://web.archive.org/web/20250122192028/https://www.theater-kiel.de/oper-kiel/veranstaltungen/titel/buehne-fuer-demokratie-nie-wieder-ist-jetzt,"<a href=""https://web.archive.org/web/20250122192028/https://www.theater-kiel.de/oper-kiel/veranstaltungen/titel/buehne-fuer-demokratie-nie-wieder-ist-jetzt"">Link</a>"
Peine,historischer Markt,27.01.2025,18Uhr,52.33,10.27,https://web.archive.org/web/20250122192148/https://www.braunschweiger-zeitung.de/niedersachsen/peine/article408116500/holocaust-gedenktag-peiner-buendnis-ruft-zu-dieser-kundgebung-auf.html,"<a href=""https://web.archive.org/web/20250122192148/https://www.braunschweiger-zeitung.de/niedersachsen/peine/article408116500/holocaust-gedenktag-peiner-buendnis-ruft-zu-dieser-kundgebung-auf.html"">Link</a>"
Strausberg,Ehrenhain für die Opfer des Faschismus,27.01.2025,16 Uhr,52.56,13.91,https://www.demokrateam.org/aktionen/kein-vergeben-kein-vergessen/,"<a href=""https://www.demokrateam.org/aktionen/kein-vergeben-kein-vergessen/"">Link</a>"
Schorndorf,Altes Rathaus,30.01.2025,17 Uhr,48.78,9.53,http://www.schorndorfer-buendnis.de/,"<a href=""http://www.schorndorfer-buendnis.de/"">Link</a>"
Braunschweig,Kohlmarkt,31.01.2025,11 Uhr,52.26,10.52,https://web.archive.org/web/20250122192909/https://buendnisgegenrechts.net/2025/01/16/gemeinsam-laut-gegen-rechts-fuer-inklusion-gegen-ausgrenzung/,"<a href=""https://web.archive.org/web/20250122192909/https://buendnisgegenrechts.net/2025/01/16/gemeinsam-laut-gegen-rechts-fuer-inklusion-gegen-ausgrenzung/"">Link</a>"
Falkensee,Busbahnhof,31.01.2025,17 Uhr,52.57,13.08,https://www.demokrateam.org/aktionen/kein-falkensee-der-afd/,"<a href=""https://www.demokrateam.org/aktionen/kein-falkensee-der-afd/"">Link</a>"
Hamburg,Menschenkette Reesendamm/Jungfernstieg,31.01.2025,14 Uhr,53.55,10.01,https://web.archive.org/web/20250120083744/https://menschenkette-hamburg.de/,"<a href=""https://web.archive.org/web/20250120083744/https://menschenkette-hamburg.de/"">Link</a>"
Göttingen,Bahnhof,01.02.2025,12 Uhr,51.52,9.94,https://www.buendnisgegenrechtsgoe.de/Termine/,"<a href=""https://www.buendnisgegenrechtsgoe.de/Termine/"">Link</a>"
Hildesheim,Hauptbahnhof,01.02.2025,11.55 Uhr,52.15,9.95,https://web.archive.org/web/20250122155937/https://www.buendnis-gegen-rechts-hildesheim.de/,"<a href=""https://web.archive.org/web/20250122155937/https://www.buendnis-gegen-rechts-hildesheim.de/"">Link</a>"
Obernburg,Festplatz,02.02.2025,17 Uhr,,,https://web.archive.org/web/20250121200122/https://spd-gruene-elsenfeld.de/termine/nie-wieder-ist-jetzt/,"<a href=""https://web.archive.org/web/20250121200122/https://spd-gruene-elsenfeld.de/termine/nie-wieder-ist-jetzt/"">Link</a>"
Nürnberg,Kornmarkt,08.02.2025,16 Uhr,49.45,11.09,https://www.allianz-gegen-rechtsextremismus.de/aktuelles/aktionen/samstag-08-februar-in-nuernberg-und-auf-instagram-baue-mit-an-der-brandmauer-fuer-die-demokratie,"<a href=""https://www.allianz-gegen-rechtsextremismus.de/aktuelles/aktionen/samstag-08-februar-in-nuernberg-und-auf-instagram-baue-mit-an-der-brandmauer-fuer-die-demokratie"">Link</a>"
Landsberg am Lech,Hellmairplatz,01.02.2025,12:30 Uhr,48.03,10.86,https://www.kreisbote.de/lokales/landsberg/februar-demo-gegen-rechtsextremismus-in-landsberg-93524648.html,"<a href=""https://www.kreisbote.de/lokales/landsberg/februar-demo-gegen-rechtsextremismus-in-landsberg-93524648.html"">Link</a>"
Köln,Heumarkt,25.01.2025,11:55 Uhr,50.93,6.95,https://web.archive.org/web/20250121194341/https://www.t-online.de/region/koeln/id_100575496/koeln-demo-gegen-afd-am-25-januar-geplant-prominente-unterstuetzer.html,"<a href=""https://web.archive.org/web/20250121194341/https://www.t-online.de/region/koeln/id_100575496/koeln-demo-gegen-afd-am-25-januar-geplant-prominente-unterstuetzer.html"">Link</a>"
Düsseldorf,DGB-Haus,15.02.2025,12 Uhr,51.24,6.8,https://web.archive.org/web/20250121194821/https://duesseldorf-stellt-sich-quer.de/gegen-die-afd-und-die-rechtsentwicklung-der-gesellschaft/,"<a href=""https://web.archive.org/web/20250121194821/https://duesseldorf-stellt-sich-quer.de/gegen-die-afd-und-die-rechtsentwicklung-der-gesellschaft/"">Link</a>"
Moers,Am Kastell,25.02.2025,11:55 Uhr,51.45,6.62,https://web.archive.org/web/20250121195638/https://www.radiokw.de/artikel/moers-ist-bunt-nicht-braun-plant-demo-am-samstag-2216980.html,"<a href=""https://web.archive.org/web/20250121195638/https://www.radiokw.de/artikel/moers-ist-bunt-nicht-braun-plant-demo-am-samstag-2216980.html"">Link</a>"
Gießen,Berliner Platz,08.02.2025,14:30 Uhr,50.57,8.72,https://www.giessener-anzeiger.de/stadt-giessen/giessen-demo-will-sich-rechtsruck-widersetzen-93514971.html,"<a href=""https://www.giessener-anzeiger.de/stadt-giessen/giessen-demo-will-sich-rechtsruck-widersetzen-93514971.html"">Link</a>"
Wetzlar,Bahnhofstraße,08.02.2025,11 Uhr,50.56,8.51,https://web.archive.org/web/20250121200910/https://www.mittelhessen.de/lokales/lahn-dill-kreis/wetzlar/demonstration-gegen-rassismus-und-hetze-in-wetzlar-geplant-4298971,"<a href=""https://web.archive.org/web/20250121200910/https://www.mittelhessen.de/lokales/lahn-dill-kreis/wetzlar/demonstration-gegen-rassismus-und-hetze-in-wetzlar-geplant-4298971"">Link</a>"
Bielefeld,Jahnplatz,07.02.2025,17 Uhr,52.02,8.53,https://web.archive.org/web/20250121201140/https://www.nw.de/lokal/bielefeld/mitte/24025312_Bielefelder-Buendnis-gegen-Rechts-ruft-vor-Bundestagswahl-zu-Grossdemo-auf.html,"<a href=""https://web.archive.org/web/20250121201140/https://www.nw.de/lokal/bielefeld/mitte/24025312_Bielefelder-Buendnis-gegen-Rechts-ruft-vor-Bundestagswahl-zu-Grossdemo-auf.html"">Link</a>"
Nordhorn,Innenstadt,25.01.2025,11:55 Uhr,52.43,7.06,https://web.archive.org/web/20250122145753/https://omasgegenrechts-nord.de/events/grafschaft-bentheim-spaziergang-gegen-rechts-in-der-nordhorner-innenstadt-2/,"<a href=""https://web.archive.org/web/20250122145753/https://omasgegenrechts-nord.de/events/grafschaft-bentheim-spaziergang-gegen-rechts-in-der-nordhorner-innenstadt-2/"">Link</a>"
Nordhorn,Innenstadt,01.02.2025,11:55 Uhr,52.43,7.06,https://web.archive.org/web/20250122145753/https://omasgegenrechts-nord.de/events/grafschaft-bentheim-spaziergang-gegen-rechts-in-der-nordhorner-innenstadt-2/,"<a href=""https://web.archive.org/web/20250122145753/https://omasgegenrechts-nord.de/events/grafschaft-bentheim-spaziergang-gegen-rechts-in-der-nordhorner-innenstadt-2/"">Link</a>"
Nordhorn,Innenstadt,15.02.2025,11:55 Uhr,52.43,7.06,https://web.archive.org/web/20250122145753/https://omasgegenrechts-nord.de/events/grafschaft-bentheim-spaziergang-gegen-rechts-in-der-nordhorner-innenstadt-2/,"<a href=""https://web.archive.org/web/20250122145753/https://omasgegenrechts-nord.de/events/grafschaft-bentheim-spaziergang-gegen-rechts-in-der-nordhorner-innenstadt-2/"">Link</a>"
Nordhorn,Innenstadt,22.02.2025,11:55 Uhr,52.43,7.06,https://web.archive.org/web/20250122145753/https://omasgegenrechts-nord.de/events/grafschaft-bentheim-spaziergang-gegen-rechts-in-der-nordhorner-innenstadt-2/,"<a href=""https://web.archive.org/web/20250122145753/https://omasgegenrechts-nord.de/events/grafschaft-bentheim-spaziergang-gegen-rechts-in-der-nordhorner-innenstadt-2/"">Link</a>"
Wilhelmshaven,Rambla,31.01.2025,13 Uhr,53.54,8.12,https://web.archive.org/web/20250122150301/https://omasgegenrechts-nord.de/events/wilhelmshaven-demo-gegen-die-af//,"<a href=""https://web.archive.org/web/20250122150301/https://omasgegenrechts-nord.de/events/wilhelmshaven-demo-gegen-die-af//"">Link</a>"
Harburg,Heimfelder Platz,26.01.2025,15 Uhr,53.46,9.97,https://web.archive.org/web/20250122150728/https://harburg-steht-zusammen.de/,"<a href=""https://web.archive.org/web/20250122150728/https://harburg-steht-zusammen.de/"">Link</a>"
Münster-Coerde,Hamannplatz,31.01.2025,18 Uhr,51.96,7.63,https://web.archive.org/web/20250122150943/https://coerde-ist-bunt.de/,"<a href=""https://web.archive.org/web/20250122150943/https://coerde-ist-bunt.de/"">Link</a>"
Barsinghausen,Volksbank,08.02.2025,15 Uhr,52.31,9.46,https://omasgegenrechts-nord.de/events/barsinghausen-menschen-rettungskette-fuer-die-demokratie/,"<a href=""https://omasgegenrechts-nord.de/events/barsinghausen-menschen-rettungskette-fuer-die-demokratie/"">Link</a>"
Schladen,Dorfgemeinschaftshaus,22.02.2025,18 Uhr,52.02,10.57,https://web.archive.org/web/20250122152039/https://gruene-wolfenbuettel.de/Veranstaltung/demonstration-des-buendnisses-gegen-rechtsextremismus/?instance_id=994,"<a href=""https://web.archive.org/web/20250122152039/https://gruene-wolfenbuettel.de/Veranstaltung/demonstration-des-buendnisses-gegen-rechtsextremismus/?instance_id=994"">Link</a>"
